CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
00934;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); amputación radical del pene con linfadenectomía inguinal bilateral";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00936;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); amputación radical del pene con linfadenectomía ilíaca e inguinal bilaterales";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00938;"Anestesia para procedimientos en genitales externos masculinos (incluyendo procedimientos abiertos en uretra); inserción de prótesis de pene (abordaje perineal)";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00940;"Anestesia para procedimientos vaginales (incluyendo biopsia de labios, vagina, cérvix o endometrio); no especificados de otra forma";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00942;"Anestesia para procedimientos vaginales (incluyendo biopsia de labios, vagina, cérvix o endometrio); colpotomía, colpectomía, colporrafia y procedimientos abiertos de uretra";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00944;"Anestesia para procedimientos vaginales (incluyendo biopsia de labios, vagina, cérvix o endometrio); histerectomía vaginal";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00948;"Anestesia para procedimientos vaginales (incluyendo biopsia de labios, vagina, cérvix o endometrio); cerclaje cervical";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
00950;"Anestesia para procedimientos vaginales (incluyendo biopsia de labios, vagina, cérvix o endometrio); culdoscopia";1;Servicios médicos y estomatológicos;1.1;Sección Anestesiología;1.1.8;Subsección Perineo;ACTIVO
33230;Remoción del generador con reemplazo del marcapaso pulsogenerador con un Con doble cable existente;1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.4;Subsección Sistema Cardiovascular;ACTIVO
23616;"Tratamiento abierto de fractura del húmero proximal (cuello quirúrgico o anatómico), con o sin fijación interna o externa, con o sin corrección de tuberosidades; con reemplazo prostético del húmero proximal";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23620;"Tratamiento cerrado de fractura de la tuberosidad mayor del húmero; sin manipulación";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
23625;"Tratamiento cerrado de fractura de la tuberosidad mayor del húmero; con manipulación";1;Servicios médicos y estomatológicos;1.2;Sección Cirugía;1.2.2;Subsección Sistema Musculoesquelético;ACTIVO
