CO_CODUPS;DE_NOMBREUPS;TABLA_D1_SETI IPRESS;TABLA_G_SETIIPRESS;TABLA_I_SETIIPRESS
225600;CONSULTA EXTERNA-NEUROLOGÍA PEDIÁTRICA-;0;1;1
225700;CONSULTA EXTERNA-OFTALMOLOGÍA PEDIÁTRICA-;0;1;1
225800;CONSULTA EXTERNA-ONCOLOGÍA PEDIÁTRICA-;0;1;1
225900;CONSULTA EXTERNA-PSIQUIATRÍA PEDIÁTRICA-;0;1;1
226000;CONSULTA EXTERNA-REUMATOLOGÍA PEDIÁTRICA-;0;1;1
226100;CONSULTA EXTERNA-ONCOLOGÍA PREVENTIVA-;0;1;1
227000;CONSULTA EXTERNA-FAMILIAR/COMUNITARIA/INTEGRAL;0;1;1
229000;CONSULTA EXTERNA- ANESTESIOLOGIA;0;1;1
230000;EMERGENCIA;0;1;1
230100;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-;0;1;1
230101;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-CIRUGÍA GENERAL;0;1;1
230102;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-GINECO-OBSTÉTRICA;0;1;1
230103;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-MEDICINA ADULTOS;0;1;1
230104;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-OFTALMOLOGÍA;0;1;1
230105;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-ODONTOLOGÍA;0;1;1
230106;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-PEDIATRÍA;0;1;1
230107;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-PSIQUIATRÍA;0;1;1
230108;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-UROLOGÍA;0;1;1
230109;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-TRAUMATOLOGÍA Y ORTOPEDIA;0;1;1
230110;EMERGENCIA-EMERGENCIA / PRIORIDAD 2-NEUROCIRUGIA;0;1;1
